"Step","robust-puddle-9 - psnr","robust-puddle-9 - psnr__MIN","robust-puddle-9 - psnr__MAX"
"0","14.243840217590332","14.243840217590332","14.243840217590332"
"1","33.61675262451172","33.61675262451172","33.61675262451172"
"2","33.654754638671875","33.654754638671875","33.654754638671875"
"3","33.674156188964844","33.674156188964844","33.674156188964844"
"4","33.6927604675293","33.6927604675293","33.6927604675293"
"5","33.71867370605469","33.71867370605469","33.71867370605469"
"6","33.73123550415039","33.73123550415039","33.73123550415039"
"7","33.756717681884766","33.756717681884766","33.756717681884766"
"8","33.78327178955078","33.78327178955078","33.78327178955078"
"9","33.826168060302734","33.826168060302734","33.826168060302734"
"10","33.89111328125","33.89111328125","33.89111328125"
"11","33.939945220947266","33.939945220947266","33.939945220947266"
"12","33.98123550415039","33.98123550415039","33.98123550415039"
"13","34.026180267333984","34.026180267333984","34.026180267333984"
"14","34.0735969543457","34.0735969543457","34.0735969543457"
"15","34.11912155151367","34.11912155151367","34.11912155151367"
"16","34.162837982177734","34.162837982177734","34.162837982177734"
"17","34.20142364501953","34.20142364501953","34.20142364501953"
"18","34.2365608215332","34.2365608215332","34.2365608215332"
"19","34.2659912109375","34.2659912109375","34.2659912109375"
"20","34.294612884521484","34.294612884521484","34.294612884521484"
"21","34.31999588012695","34.31999588012695","34.31999588012695"
"22","34.34175109863281","34.34175109863281","34.34175109863281"
"23","34.36094284057617","34.36094284057617","34.36094284057617"
"24","34.38301086425781","34.38301086425781","34.38301086425781"
"25","34.4007453918457","34.4007453918457","34.4007453918457"
"26","34.41462326049805","34.41462326049805","34.41462326049805"
"27","34.43220901489258","34.43220901489258","34.43220901489258"
"28","34.446170806884766","34.446170806884766","34.446170806884766"
"29","34.460758209228516","34.460758209228516","34.460758209228516"
"30","34.47425079345703","34.47425079345703","34.47425079345703"
"31","34.483154296875","34.483154296875","34.483154296875"
"32","34.494384765625","34.494384765625","34.494384765625"
"33","34.50505828857422","34.50505828857422","34.50505828857422"
"34","34.51692581176758","34.51692581176758","34.51692581176758"
"35","34.52128982543945","34.52128982543945","34.52128982543945"
"36","34.533729553222656","34.533729553222656","34.533729553222656"
"37","34.54172134399414","34.54172134399414","34.54172134399414"
"38","34.548065185546875","34.548065185546875","34.548065185546875"
"39","34.557010650634766","34.557010650634766","34.557010650634766"
"40","34.55876922607422","34.55876922607422","34.55876922607422"
"41","34.57545471191406","34.57545471191406","34.57545471191406"
"42","34.582149505615234","34.582149505615234","34.582149505615234"
"43","34.58736801147461","34.58736801147461","34.58736801147461"
"44","34.59398651123047","34.59398651123047","34.59398651123047"
"45","34.60205841064453","34.60205841064453","34.60205841064453"
"46","34.60380935668945","34.60380935668945","34.60380935668945"
"47","34.613704681396484","34.613704681396484","34.613704681396484"
"48","34.617313385009766","34.617313385009766","34.617313385009766"
"49","34.620452880859375","34.620452880859375","34.620452880859375"
"51","30.845083236694336","30.845083236694336","30.845083236694336"
"52","34.67521286010742","34.67521286010742","34.67521286010742"
"53","34.728416442871094","34.728416442871094","34.728416442871094"
"54","34.791778564453125","34.791778564453125","34.791778564453125"
"55","34.80949020385742","34.80949020385742","34.80949020385742"
"56","34.83265686035156","34.83265686035156","34.83265686035156"
"57","34.824790954589844","34.824790954589844","34.824790954589844"
"58","34.820274353027344","34.820274353027344","34.820274353027344"
"59","34.849979400634766","34.849979400634766","34.849979400634766"
"60","34.840126037597656","34.840126037597656","34.840126037597656"
"61","34.810089111328125","34.810089111328125","34.810089111328125"
"62","34.85520553588867","34.85520553588867","34.85520553588867"
"63","34.85712432861328","34.85712432861328","34.85712432861328"
"64","34.84767150878906","34.84767150878906","34.84767150878906"
"65","34.84798812866211","34.84798812866211","34.84798812866211"
"66","34.85867691040039","34.85867691040039","34.85867691040039"
